player_id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_name,npg,npxG,xGChain,xGBuildup,year,league_name
8263,Javi Martínez,4,104,0,0,0,0,0,0,0,0,M S,Osasuna,0,0,0,0,2020,La liga
8744,Juan Cruz,14,1116,0,0,0,0.06482159905135632,0,3,1,0,D S,Osasuna,0,0,0.8000348769128323,0.73521327786147594,2020,La liga
1700,Lucas Pérez,14,911,4,4.75005915760994,2,1.635280579328537,15,29,0,0,F S,Alaves,1,1.777076542377472,3.709427271038294,1.1439697667956352,2020,La liga
866,Joselu,17,1353,3,4.678388778120279,1,1.8037700075656176,41,15,1,0,F S,Alaves,2,3.935111168771982,4.439953679218888,0.22394120693206787,2020,La liga
2088,Edgar Méndez,16,1020,2,1.7080605421215296,1,0.6380786243826151,11,9,3,1,D M S,Alaves,2,1.7080605421215296,2.5987112782895565,0.3437454625964165,2020,La liga
1131,Rodrigo Ely,8,469,1,0.41457956470549107,0,0.49367624521255493,4,3,1,0,D S,Alaves,1,0.41457956470549107,0.33866941928863525,0.10833027958869934,2020,La liga
2185,Deyverson,14,670,1,1.2582917883992195,2,1.543987587094307,12,6,3,0,F S,Alaves,1,1.2582917883992195,3.3901549503207207,0.6877472251653671,2020,La liga
2482,Tomás Pina,14,1100,1,0.376478411257267,0,0.27479541301727295,2,4,6,0,M S,Alaves,1,0.376478411257267,2.3604587204754353,1.8877586424350739,2020,La liga
4052,Ximo Navarro,14,1110,1,0.28010884672403336,0,0.10623287409543991,9,3,1,0,D S,Alaves,1,0.28010884672403336,1.4560957169160247,1.256645642220974,2020,La liga
7870,Luis Rioja,16,1129,1,1.4166155010461807,1,0.9568119142204523,8,10,3,0,D M S,Alaves,1,1.4166155010461807,3.9307326916605234,1.9332045782357454,2020,La liga
7871,Borja Sainz,13,261,1,0.8482999764382839,0,0.14357297867536545,5,2,0,0,M S,Alaves,1,0.8482999764382839,1.7831678688526154,0.7912948988378048,2020,La liga
2110,Rubén Duarte,16,1363,0,0.32218540366739035,0,1.6524306712672114,8,13,3,1,D S,Alaves,0,0.32218540366739035,3.093026977032423,1.666527045890689,2020,La liga
2132,Jota,12,781,0,0.3983563296496868,1,1.0991033613681793,7,5,2,1,M S,Alaves,0,0.3983563296496868,1.7026574648916721,0.6526305973529816,2020,La liga
2287,John Guidetti,4,55,0,0.04450920596718788,0,0,1,0,0,0,S,Alaves,0,0.04450920596718788,0.19944535940885544,0.15493615716695786,2020,La liga
2483,Adrián Marín,4,82,0,0.10833027958869934,0,0.04592223837971687,1,1,0,0,M S,Alaves,0,0.10833027958869934,0.20391129329800606,0.04965877905488014,2020,La liga
5042,Fernando Pacheco,18,1620,0,0,0,0,0,0,1,0,GK,Alaves,0,0,0.677180889993906,0.677180889993906,2020,La liga
5044,Víctor Laguardia,16,1260,0,0.9275169782340527,0,0,3,0,2,1,D S,Alaves,0,0.9275169782340527,2.113224495202303,2.113224495202303,2020,La liga
5045,Manu García,12,325,0,0.20596145000308752,0,0,5,0,0,0,M S,Alaves,0,0.20596145000308752,0.4258628711104393,0.25988390296697617,2020,La liga
5073,Florian Lejeune,15,1308,0,0.3212993834167719,0,0.06419317610561848,10,3,6,0,D,Alaves,0,0.3212993834167719,1.0921055227518082,0.9917334765195847,2020,La liga
5124,Alberto Rodríguez,4,203,0,0.04819640517234802,0,0.08199528604745865,1,1,1,1,D S,Alaves,0,0.04819640517234802,0,0,2020,La liga
5198,Martín Aguirregabiria,9,400,0,0,0,0.10647953301668167,0,1,0,0,D S,Alaves,0,0,0.8996024262160063,0.8996024262160063,2020,La liga
6117,Pere Pons,7,550,0,0.0266861654818058,0,0.4211241155862808,1,4,0,0,M S,Alaves,0,0.0266861654818058,1.1034145057201385,0.6556042209267616,2020,La liga
8413,Javier López,8,180,0,0.09026136994361877,0,0.0992283783853054,1,2,1,0,D S,Alaves,0,0.09026136994361877,0.1455901749432087,0,2020,La liga
8414,Mahmoud Abdallahi,1,47,0,0,0,0,0,0,0,0,M,Alaves,0,0,0,0,2020,La liga
8750,Rodrigo Battaglia,16,1376,0,0.4291805177927017,0,0.01566223055124283,6,1,5,1,M,Alaves,0,0.4291805177927017,1.4490951709449291,1.4334329403936863,2020,La liga
8751,Sergi García,2,13,0,0,0,0,0,0,0,0,S,Alaves,0,0,0,0,2020,La liga
9032,Tomás Tavares,3,53,0,0,0,0,0,0,0,0,S,Alaves,0,0,0.02342831902205944,0.02342831902205944,2020,La liga
9244,Stephane Paul Keller,1,10,0,0,0,0,0,0,0,0,S,Alaves,0,0,0,0,2020,La liga
4146,Fidel,15,1204,4,2.210481805726886,2,1.8414381816983223,7,21,2,0,D M S,Elche,2,0.7239265870302916,2.8484146632254124,0.7702531376853585,2020,La liga
1189,Lucas Boyé,13,897,3,1.3004246018826962,0,0.18748146668076515,17,3,2,1,F M S,Elche,3,1.3004246018826962,1.350010422989726,0.4089259812608361,2020,La liga
8893,Josan,15,1091,2,0.7161893900483847,1,0.3425917290151119,8,6,2,0,D M S,Elche,2,0.7161893900483847,1.2437827624380589,0.4628063580021262,2020,La liga
8895,Tete Morente,14,1070,2,1.3733202079311013,2,0.4861540701240301,12,4,4,0,M S,Elche,2,1.3733202079311013,1.653117516078055,0.704004555940628,2020,La liga
3424,Guido Carrillo,6,131,1,0.4681812524795532,0,0,2,0,1,0,F S,Elche,1,0.4681812524795532,0.4681812524795532,0,2020,La liga
4175,Pere Milla,14,995,1,2.3368707997724414,1,1.0060424571856856,15,10,2,0,F M S,Elche,1,2.3368707997724414,3.1041933745145798,0.7305999873206019,2020,La liga
8894,Raúl Guti,15,1125,1,0.5040996838361025,0,0,9,0,2,0,M S,Elche,1,0.5040996838361025,0.9646549476310611,0.5094388779252768,2020,La liga
1706,Antonio Barragán,13,1170,0,0.6795529713854194,1,0.3141775093972683,4,2,4,0,D,Elche,0,0.6795529713854194,1.4908964112401009,1.4908964112401009,2020,La liga
2071,Diego González,7,497,0,0.052931828424334526,0,0.04417134448885918,2,1,3,0,D S,Elche,0,0.052931828424334526,0.9342459961771965,0.9342459961771965,2020,La liga
2350,Cifuentes,2,69,0,0.018399808555841446,0,0,1,0,0,0,D S,Elche,0,0.018399808555841446,0.07516475766897202,0.07516475766897202,2020,La liga
2471,Víctor Rodríguez,6,188,0,0,0,0.3744615390896797,0,2,0,0,M S,Elche,0,0,0.4748305883258581,0.1387933697551489,2020,La liga
2567,Luismi,5,127,0,0,0,0,0,0,0,0,D M S,Elche,0,0,0,0,2020,La liga
2597,Dani Calvo,7,379,0,0,0,0,0,0,1,0,D S,Elche,0,0,0,0,2020,La liga
3248,Omenuke Mfulu,11,352,0,0,0,0,0,0,2,0,M S,Elche,0,0,0.351717472076416,0.351717472076416,2020,La liga
3367,Youssouf Kone,3,69,0,0,0,0,0,0,0,0,D S,Elche,0,0,0.11678247898817062,0.11678247898817062,2020,La liga
4017,Juan Sánchez Miño,9,501,0,0,0,0.02783152461051941,0,1,2,0,D M S,Elche,0,0,0.263319986872375,0.263319986872375,2020,La liga
6282,Emiliano Rigoni,10,465,0,0.24979061633348465,1,1.4518385529518127,5,6,2,0,F M S,Elche,0,0.24979061633348465,2.0390575006604195,0.4190050568431616,2020,La liga
8890,Edgar Badía,16,1440,0,0,0,0,0,0,0,0,GK,Elche,0,0,0.4824569895863533,0.4824569895863533,2020,La liga
8891,Gonzalo Verdú,16,1440,0,0.2281288430094719,0,0.01410222239792347,4,1,4,0,D,Elche,0,0.2281288430094719,0.6569328662008047,0.6569328662008047,2020,La liga
8892,Josema,15,1198,0,0.054137702099978924,1,0.561900183558464,4,4,1,0,D S,Elche,0,0.054137702099978924,1.7071341648697853,1.641581617295742,2020,La liga
8896,Nino,8,164,0,0.3876817338168621,0,0.870376706123352,3,1,1,0,S,Elche,0,0.3876817338168621,1.2748616635799408,0.016803225502371788,2020,La liga
8897,Ramón Folch,1,1,0,0,0,0,0,0,0,0,S,Elche,0,0,0,0,2020,La liga
9033,Iván Marcone,13,1102,0,0.086483895778656,0,0.1380558144301176,1,4,3,1,M,Elche,0,0.086483895778656,1.4418725091964006,1.2694555688649416,2020,La liga
9035,Jeison Lucumí,2,47,0,0,0,0,0,0,0,0,M S,Elche,0,0,0,0,2020,La liga
9199,John Donald,1,49,0,0,0,0,0,0,0,0,D,Elche,0,0,0.012924697250127792,0.012924697250127792,2020,La liga
8761,Shon Weissman,14,793,3,2.003022402524948,0,0.1932440884411335,14,5,1,0,F S,Real Valladolid,3,2.003022402524948,2.4473460763692856,0.44372528977692127,2020,La liga
8933,Marcos de Sousa,13,813,3,2.65942345559597,0,0.1261813510209322,22,3,1,0,F S,Real Valladolid,3,2.65942345559597,4.114802222698927,1.6995916776359081,2020,La liga
2285,Fabián Orellana,15,1029,2,2.094488460570574,0,1.1651723235845566,14,15,2,0,M S,Real Valladolid,0,0.6080611236393452,4.724344744812697,3.3225872139446437,2020,La liga
2444,Bruno,15,1350,1,0.18851063586771488,0,0.014099780470132828,4,1,5,0,D,Real Valladolid,1,0.18851063586771488,1.528671620413661,1.5145718399435282,2020,La liga
4208,Míchel,7,375,1,0.5350050926208496,0,0.17522931937128305,1,4,1,0,M S,Real Valladolid,1,0.5350050926208496,1.0759559366852045,0.5181051176041365,2020,La liga
5114,Raúl García,8,503,1,0.12779371067881584,0,0.28879808634519577,3,5,2,0,D M S,Real Valladolid,1,0.12779371067881584,0.9246485866606236,0.7581124641001225,2020,La liga
5212,Sergi Guardiola,15,917,1,3.6271875631064177,2,1.2875355072319508,20,9,1,0,F S,Real Valladolid,0,2.1406322438269854,3.651276534423232,0.4342452804557979,2020,La liga
6919,Toni Villa,13,574,1,0.4830061253160238,0,0.5785538479685783,9,7,1,0,F M S,Real Valladolid,1,0.4830061253160238,1.1579256653785706,0.37286285124719143,2020,La liga
6921,Óscar Plano,18,1106,1,1.0140069890767336,4,1.0083976313471794,14,15,0,0,M S,Real Valladolid,1,1.0140069890767336,2.7087219799868762,1.3960680062882602,2020,La liga
7525,Waldo Rubio,7,357,1,1.0176205858588219,0,0,9,0,1,0,M S,Real Valladolid,0,0.27434294298291206,0.3163880817592144,0.0871148481965065,2020,La liga
9031,Jota,9,351,1,1.030983118340373,0,0.09321325272321701,6,1,1,0,F M S,Real Valladolid,1,1.030983118340373,1.688410559669137,0.5642141997814178,2020,La liga
2105,Jordi Masip,12,1080,0,0,0,0,0,0,1,0,GK,Real Valladolid,0,0,0.2508720988407731,0.2508720988407731,2020,La liga
2161,Nacho,14,1176,0,0.21921383030712605,1,0.7219671765342355,6,13,1,1,D,Real Valladolid,0,0.21921383030712605,2.9117474583908916,2.3526555839926004,2020,La liga
2356,Roque Mesa,8,553,0,0.29800260066986084,0,0.47608472406864166,9,8,3,0,M S,Real Valladolid,0,0.29800260066986084,1.9344049971550703,1.5714309085160494,2020,La liga
4054,Pablo Hervías,16,847,0,0.39885465055704117,1,2.261428992729634,9,16,1,0,D S,Real Valladolid,0,0.39885465055704117,2.7730913683772087,1.045811870135367,2020,La liga
5087,Roberto Jiménez,6,540,0,0,0,0,0,0,0,0,GK,Real Valladolid,0,0,0.048271115869283676,0.048271115869283676,2020,La liga
5994,Saidy Janko,5,202,0,0.030664853751659393,0,0.2530345022678375,1,3,1,0,D S,Real Valladolid,0,0.030664853751659393,0.5843658670783043,0.366151325404644,2020,La liga
6546,Jawad El Yamiq,9,557,0,0.10433119535446167,1,0.021223159506917,2,1,2,0,D S,Real Valladolid,0,0.10433119535446167,0.27908721566200256,0.27908721566200256,2020,La liga
6914,Javi Moyano,2,103,0,0,0,0,0,0,0,0,D,Real Valladolid,0,0,0.05775327980518341,0.05775327980518341,2020,La liga
6917,Rubén Alcaraz,13,901,0,0.6052781734615564,0,0.0638605672866106,11,3,4,0,M S,Real Valladolid,0,0.6052781734615564,2.2332696835510433,1.7574965409003198,2020,La liga
